period_id,weight,hour_period
3,232.8462,2025-07-12 20:14:07.057608+00:00
3,1035.9774,2025-07-12 20:14:14.371236+00:00
3,280.4562,2025-07-12 20:16:47.952471+00:00
3,328.9599,2025-07-12 20:16:55.262197+00:00
3,664.833,2025-07-12 20:17:02.563104+00:00
3,662.122,2025-07-12 20:17:09.865513+00:00
3,660.9758,2025-07-12 20:17:17.172944+00:00
3,657.8751,2025-07-12 20:17:24.480679+00:00
3,653.9539,2025-07-12 20:17:31.787427+00:00
3,653.9554,2025-07-12 20:17:39.089275+00:00
3,661.5235,2025-07-12 20:17:46.384976+00:00
3,663.3773,2025-07-12 20:17:53.684979+00:00
3,846.5808,2025-07-12 20:18:00.974817+00:00
3,902.0768,2025-07-12 20:18:08.278431+00:00
3,900.9203,2025-07-12 20:18:15.583584+00:00
3,902.0296,2025-07-12 20:18:22.883285+00:00
3,902.9828,2025-07-12 20:18:30.207560+00:00
3,901.9858,2025-07-12 20:18:37.515630+00:00
3,895.1814,2025-07-12 20:18:44.832502+00:00
3,887.0237,2025-07-12 20:18:52.138559+00:00
3,884.0489,2025-07-12 20:18:59.448724+00:00
3,885.0139,2025-07-12 20:19:06.757576+00:00
3,729.6485,2025-07-12 20:19:14.070493+00:00
3,720.8427,2025-07-12 20:19:21.368450+00:00
3,248.7615,2025-07-12 20:19:28.684202+00:00
3,452.3225,2025-07-12 20:20:27.135221+00:00
3,651.4526,2025-07-12 20:20:34.437160+00:00
3,652.5283,2025-07-12 20:20:41.724948+00:00
3,1037.8632,2025-07-12 20:20:49.030564+00:00
3,1040.1559,2025-07-12 20:20:56.332993+00:00
3,1037.1147,2025-07-12 20:21:03.647289+00:00
3,1039.7219,2025-07-12 20:21:10.955623+00:00
3,1038.252,2025-07-12 20:21:18.266166+00:00
3,1033.8938,2025-07-12 20:21:25.567243+00:00
3,1035.7841,2025-07-12 20:21:32.865340+00:00
3,1035.4307,2025-07-12 20:21:40.168645+00:00
3,1035.1807,2025-07-12 20:21:47.462360+00:00
3,1031.1469,2025-07-12 20:21:54.768970+00:00
3,1034.693,2025-07-12 20:22:02.064478+00:00
3,1034.9248,2025-07-12 20:22:09.371063+00:00
3,1032.1696,2025-07-12 20:22:16.688953+00:00
3,1092.87,2025-07-12 20:22:24.001142+00:00
3,1031.0126,2025-07-12 20:22:31.308941+00:00
3,1033.6788,2025-07-12 20:22:38.598834+00:00
3,1034.756,2025-07-12 20:22:45.912945+00:00
3,1039.5029,2025-07-12 20:22:53.212219+00:00
3,1041.576,2025-07-12 20:23:00.520980+00:00
3,1040.2784,2025-07-12 20:23:07.826747+00:00
3,1041.9629,2025-07-12 20:23:15.142587+00:00
3,1042.1273,2025-07-12 20:23:22.449007+00:00
3,1040.8492,2025-07-12 20:23:29.772430+00:00
3,1037.6176,2025-07-12 20:23:37.072869+00:00
3,1037.3372,2025-07-12 20:23:44.372239+00:00
3,1038.157,2025-07-12 20:23:51.680119+00:00
3,256.3168,2025-07-12 20:24:06.289298+00:00
3,268.9517,2025-07-12 20:24:13.586942+00:00
3,281.4759,2025-07-12 20:24:20.900976+00:00
3,280.8494,2025-07-12 20:24:28.208075+00:00
3,282.1117,2025-07-12 20:24:35.515560+00:00
3,280.7692,2025-07-12 20:24:42.919429+00:00
3,286.1209,2025-07-12 20:24:50.208717+00:00
3,287.1174,2025-07-12 20:24:57.516455+00:00
3,283.9453,2025-07-12 20:25:04.822749+00:00
3,283.9015,2025-07-12 20:25:12.119920+00:00
3,285.1706,2025-07-12 20:25:19.426055+00:00
3,283.8291,2025-07-12 20:25:26.733381+00:00
3,294.6865,2025-07-12 20:25:34.028142+00:00
3,278.4701,2025-07-12 20:25:41.342600+00:00
3,172.3849,2025-07-12 20:26:17.869358+00:00
3,170.9282,2025-07-12 20:26:25.175427+00:00
3,170.4263,2025-07-12 20:26:32.484978+00:00
3,167.0942,2025-07-12 20:26:39.790984+00:00
3,152.8851,2025-07-12 20:26:47.181220+00:00
3,164.5943,2025-07-12 20:26:54.481039+00:00
3,165.767,2025-07-12 20:27:01.763055+00:00
3,244.0048,2025-07-12 20:27:09.066123+00:00
3,245.4644,2025-07-12 20:27:16.374878+00:00
3,248.9746,2025-07-12 20:27:23.681875+00:00
3,248.9441,2025-07-12 20:27:31.000516+00:00
3,249.5671,2025-07-12 20:27:38.308354+00:00
3,331.7816,2025-07-12 20:27:45.611669+00:00
3,330.0671,2025-07-12 20:27:52.926121+00:00
3,328.9466,2025-07-12 20:28:00.244186+00:00
3,328.3251,2025-07-12 20:28:07.540551+00:00
3,331.9283,2025-07-12 20:28:14.848978+00:00
3,335.4542,2025-07-12 20:28:22.149558+00:00
3,336.4251,2025-07-12 20:28:29.466949+00:00
3,341.1666,2025-07-12 20:28:36.782055+00:00
3,336.5925,2025-07-12 20:28:44.077270+00:00
3,335.3479,2025-07-12 20:28:51.381015+00:00
3,213.9085,2025-07-12 20:28:58.692067+00:00
3,231.6908,2025-07-12 20:29:06.001117+00:00
3,234.3231,2025-07-12 20:29:13.296445+00:00
3,237.79,2025-07-12 20:29:20.600281+00:00
3,240.5197,2025-07-12 20:29:27.905259+00:00
3,223.6699,2025-07-12 20:29:35.194533+00:00
3,459.9684,2025-07-12 20:29:49.810945+00:00
3,459.0708,2025-07-12 20:29:57.105034+00:00
3,454.5867,2025-07-12 20:30:04.411875+00:00
3,454.3588,2025-07-12 20:30:11.727959+00:00
3,470.7618,2025-07-12 20:30:19.020982+00:00
